x,y,z,yaw,velocity,change_flag
232.2842,392.1977,0.1793,-3.1073,10.0000,0
227.2873,392.0265,0.1406,-3.1073,10.0000,0
222.2903,391.8553,0.1018,-3.1073,10.0000,0
217.2934,391.6841,0.0631,-3.1073,10.0000,0
212.2965,391.5129,0.0244,-3.1073,10.0000,0
207.2996,391.3417,-0.0144,-3.1073,10.0000,0
205.2475,391.2715,-0.0303,-3.1344,10.0000,0
200.2478,391.2354,-0.0689,-3.1344,10.0000,0
195.5181,391.2013,-0.1054,-2.9726,10.0000,0
190.5894,390.3601,-0.1008,-2.9726,10.0000,0
185.6607,389.5190,-0.0963,-2.9726,10.0000,0
185.5047,389.4924,-0.0962,-2.1822,10.0000,0
182.6344,385.3983,-0.1003,-2.1822,10.0000,0
181.0201,383.0957,-0.1026,-1.4644,10.0000,0
181.5513,378.1244,-0.0437,-1.4644,10.0000,0
182.0824,373.1530,0.0152,-1.4644,10.0000,0
182.2902,371.2081,0.0383,-1.5740,10.0000,0
182.2741,366.2081,0.0552,-1.5740,10.0000,0
182.2581,361.2082,0.0722,-1.5740,10.0000,0
182.2420,356.2082,0.0891,-1.5740,10.0000,0
182.2259,351.2083,0.1061,-1.5740,10.0000,0
182.2099,346.2083,0.1230,-1.5740,10.0000,0
182.1938,341.2084,0.1400,-1.5740,10.0000,0
182.1778,336.2085,0.1569,-1.5740,10.0000,0
182.1617,331.2085,0.1739,-1.5740,10.0000,0
182.1456,326.2086,0.1908,-1.5740,10.0000,0
182.1296,321.2086,0.2078,-1.5740,10.0000,0
182.1135,316.2087,0.2247,-1.5740,10.0000,0
182.0975,311.2087,0.2417,-1.5740,10.0000,0
182.0814,306.2088,0.2586,-1.5740,10.0000,0
182.0654,301.2088,0.2756,-1.5740,10.0000,0
182.0493,296.2089,0.2925,-1.5740,10.0000,0
182.0332,291.2089,0.3095,-1.5740,10.0000,0
182.0172,286.2090,0.3264,-1.5740,10.0000,0
182.0011,281.2091,0.3434,-1.5740,10.0000,0
181.9851,276.2091,0.3603,-1.5740,10.0000,0
181.9723,272.2431,0.3738,-1.5425,10.0000,0
182.1138,267.2451,0.3845,-1.5425,10.0000,0
182.2554,262.2471,0.3952,-1.5425,10.0000,0
182.3679,258.2716,0.4037,-1.0220,10.0000,0
184.9761,254.0064,0.4806,-1.0220,10.0000,0
187.1578,250.4386,0.5450,-0.4738,10.0000,0
190.7191,248.6124,0.6210,-0.0894,10.0000,0
195.6984,248.1661,0.7059,-0.0894,10.0000,0
200.6777,247.7197,0.7908,-0.0894,10.0000,0
204.6227,247.3661,0.8581,0.0050,10.0000,0
209.6221,247.3909,0.9328,0.0050,10.0000,0
214.6215,247.4156,1.0075,0.0050,10.0000,0
219.6209,247.4404,1.0822,0.0050,10.0000,0
224.6202,247.4652,1.1568,0.0050,10.0000,0
229.6196,247.4899,1.2315,0.0050,10.0000,0
234.6190,247.5147,1.3062,0.0050,10.0000,0
239.6184,247.5395,1.3809,0.0050,10.0000,0
244.6178,247.5642,1.4556,0.0050,10.0000,0
249.6172,247.5890,1.5303,0.0050,10.0000,0
254.6165,247.6138,1.6049,0.0050,10.0000,0
259.6159,247.6385,1.6796,0.0050,10.0000,0
