x,y,z,yaw,velocity,change_flag
109.2624,181.6157,0.3870,-1.9824,10.0000,0
107.2620,177.0334,0.3931,-1.9824,10.0000,0
106.8436,176.0750,0.3944,-1.9683,10.0000,0
104.9078,171.4650,0.3873,-1.9683,10.0000,0
102.9720,166.8549,0.3803,-1.9683,10.0000,0
101.0362,162.2449,0.3732,-1.9683,10.0000,0
99.1004,157.6348,0.3662,-1.9683,10.0000,0
97.4823,153.7813,0.3603,-1.8406,10.0000,0
96.1495,148.9623,0.3352,-1.8406,10.0000,0
94.8167,144.1433,0.3102,-1.8406,10.0000,0
93.4840,139.3242,0.2851,-1.8406,10.0000,0
92.4643,135.6372,0.2660,-1.7933,10.0000,0
91.3609,130.7605,0.2405,-1.7933,10.0000,0
90.2576,125.8838,0.2150,-1.7933,10.0000,0
89.6207,123.0689,0.2003,-1.7197,10.0000,0
88.8787,118.1244,0.1712,-1.7197,10.0000,0
88.1367,113.1798,0.1421,-1.7197,10.0000,0
87.3947,108.2353,0.1130,-1.7197,10.0000,0
86.6527,103.2907,0.0839,-1.7197,10.0000,0
86.1176,99.7249,0.0629,-1.7177,10.0000,0
85.3855,94.7788,0.0519,-1.7177,10.0000,0
84.6534,89.8327,0.0409,-1.7177,10.0000,0
83.9213,84.8866,0.0299,-1.7177,10.0000,0
83.1891,79.9405,0.0189,-1.7177,10.0000,0
82.9415,78.2676,0.0152,-1.7478,10.0000,0
82.0610,73.3457,0.0084,-1.7478,10.0000,0
81.1806,68.4239,0.0017,-1.7478,10.0000,0
80.3001,63.5020,-0.0050,-1.7478,10.0000,0
79.5725,59.4349,-0.0105,-1.8008,10.0000,0
78.4326,54.5668,0.0289,-1.8008,10.0000,0
77.2926,49.6986,0.0683,-1.8008,10.0000,0
76.8776,47.9264,0.0827,-2.3444,10.0000,0
73.3845,44.3501,-0.0084,-2.3444,10.0000,0
72.5719,43.5181,-0.0296,-1.9618,10.0000,0
70.8044,39.2310,0.1087,-0.6865,10.0000,0
74.3266,36.3449,0.4413,-0.5929,10.0000,0
76.1388,35.1239,0.6050,0.3891,10.0000,0
80.7640,37.0203,0.7102,0.3891,10.0000,0
81.1198,37.1661,0.7183,1.7982,10.0000,0
79.9941,42.0296,0.4361,1.7982,10.0000,0
79.4007,44.5935,0.2873,1.3884,10.0000,0
80.3075,49.5103,0.2288,1.3884,10.0000,0
81.2142,54.4270,0.1703,1.3884,10.0000,0
81.6932,57.0244,0.1393,1.4167,10.0000,0
82.4608,61.9651,0.1427,1.4167,10.0000,0
83.2283,66.9058,0.1460,1.4167,10.0000,0
83.9958,71.8466,0.1494,1.4167,10.0000,0
84.7633,76.7873,0.1527,1.4167,10.0000,0
85.5308,81.7281,0.1560,1.4167,10.0000,0
86.2983,86.6688,0.1594,1.4167,10.0000,0
87.0658,91.6096,0.1627,1.4167,10.0000,0
